 # Detector n: 1D Projection
 -40. -39.  12805.0693  9.05680466
 -39. -38.  13367.9248  8.16336632
 -38. -37.  13961.0811  8.22211456
 -37. -36.  14648.499  7.79520416
 -36. -35.  15307.2393  7.61052799
 -35. -34.  16117.7168  7.36463499
 -34. -33.  16893.4434  5.8581934
 -33. -32.  17721.4707  6.73269701
 -32. -31.  18752.4902  6.36936522
 -31. -30.  19769.5488  6.01979828
 -30. -29.  21173.1934  5.6638937
 -29. -28.  23688.7383  7.40168238
 -28. -27.  25330.5879  7.05341911
 -27. -26.  27024.627  5.56843853
 -26. -25.  28922.248  6.28523731
 -25. -24.  30630.457  5.96247959
 -24. -23.  32808.3945  5.55315447
 -23. -22.  35593.2578  5.1560812
 -22. -21.  38849.8438  4.70747852
 -21. -20.  42242.4844  4.53066063
 -20. -19.  47227.0938  4.53638506
 -19. -18.  51905.6523  3.92880893
 -18. -17.  57515.3125  3.71892071
 -17. -16.  64281.0195  3.3879354
 -16. -15.  73540.5938  3.36729836
 -15. -14.  83562.125  2.81082201
 -14. -13.  94389.2969  2.68388081
 -13. -12.  110327.93  2.48161674
 -12. -11.  129071.141  2.29057026
 -11. -10.  152429.375  2.02795911
 -10. -9.  179967.406  1.76622701
 -9. -8.  219008.703  1.50911927
 -8. -7.  272373.188  1.39468908
 -7. -6.  349715.312  1.30949199
 -6. -5.  459632.062  1.178388
 -5. -4.  647054.688  1.08192933
 -4. -3.  941059.062  0.84037286
 -3. -2.  1542684.38  0.841107488
 -2. -1.  2631926.75  0.751963913
 -1.  0.  4512071.  0.583912611
  0.  1.  4461930.5  0.506310642
  1.  2.  2599511.5  0.688006103
  2.  3.  1508401.75  0.804808378
  3.  4.  915959.375  0.817934334
  4.  5.  622870.25  0.993596375
  5.  6.  449451.688  1.09192538
  6.  7.  340393.438  1.15813863
  7.  8.  267624.25  1.38144183
  8.  9.  214385.219  1.59458494
  9.  10.  175450.156  1.74184513
  10.  11.  146369.094  1.93947101
  11.  12.  124699.047  2.18093777
  12.  13.  106910.062  2.40037155
  13.  14.  93486.5234  2.53469133
  14.  15.  80799.9219  2.61562586
  15.  16.  70939.8516  2.77020955
  16.  17.  62628.0625  3.16796231
  17.  18.  55714.2539  3.27162004
  18.  19.  50415.2227  3.06539035
  19.  20.  45617.6719  3.6255722
  20.  21.  41830.8203  3.89160991
  21.  22.  38683.9258  4.18173838
  22.  23.  34587.9023  3.2526288
  23.  24.  30954.9668  3.00932717
  24.  25.  28255.6895  2.87592959
  25.  26.  26063.5137  3.05135536
  26.  27.  24111.9141  2.89650679
  27.  28.  22524.2129  3.51753783
  28.  29.  21136.6777  3.68561482
  29.  30.  19986.7637  3.879143
  30.  31.  18827.7441  4.09882069
  31.  32.  17827.5684  4.30724049
  32.  33.  16782.1113  4.13860321
  33.  34.  15850.041  4.76016045
  34.  35.  15016.3955  4.54607821
  35.  36.  14197.0352  4.75892782
  36.  37.  13418.5811  5.12426996
  37.  38.  12361.2783  4.28544712
  38.  39.  11774.7197  4.47761869
  39.  40.  11342.8955  4.62496519
  40.  40.  11342.8955  4.62496519
